2009-03-24 10:52:59 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/banks_controller.php, line 17]
2009-03-26 11:10:16 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:10:38 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:10:38 Notice: Notice (8): Undefined index:  type in [APP/views/helpers/structures.php, line 186]
2009-03-26 11:10:38 Notice: Notice (8): Undefined index:  field in [APP/views/helpers/structures.php, line 189]
2009-03-26 11:10:38 Notice: Notice (8): Undefined index:  label in [APP/views/helpers/structures.php, line 194]
2009-03-26 11:10:44 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:10:44 Notice: Notice (8): Undefined index:  type in [APP/views/helpers/structures.php, line 186]
2009-03-26 11:10:44 Notice: Notice (8): Undefined index:  field in [APP/views/helpers/structures.php, line 189]
2009-03-26 11:10:44 Notice: Notice (8): Undefined index:  label in [APP/views/helpers/structures.php, line 194]
2009-03-26 11:10:44 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:10:44 Notice: Notice (8): Undefined variable: lang in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:10:44 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 97]
2009-03-26 11:10:44 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:10:44 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 97]
2009-03-26 11:10:44 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 99]
2009-03-26 11:15:56 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:15:56 Notice: Notice (8): Undefined index:  type in [APP/views/helpers/structures.php, line 181]
2009-03-26 11:15:56 Notice: Notice (8): Undefined index:  field in [APP/views/helpers/structures.php, line 184]
2009-03-26 11:15:56 Notice: Notice (8): Undefined index:  label in [APP/views/helpers/structures.php, line 189]
2009-03-26 11:17:38 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:17:38 Notice: Notice (8): Undefined index:  type in [APP/views/helpers/structures.php, line 181]
2009-03-26 11:17:38 Notice: Notice (8): Undefined index:  field in [APP/views/helpers/structures.php, line 184]
2009-03-26 11:17:38 Notice: Notice (8): Undefined index:  label in [APP/views/helpers/structures.php, line 189]
2009-03-26 11:20:48 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:21:58 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:25:42 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:26:21 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:26:41 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 11:27:38 Notice: Notice (8): Undefined variable: links in [APP/views/helpers/structures.php, line 61]
2009-03-26 14:00:08 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 89]
2009-03-26 14:00:08 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 89]
2009-03-26 14:37:06 Notice: Notice (8): Undefined variable: id in [APP/views/helpers/structures.php, line 1189]
2009-03-26 14:37:06 Notice: Notice (8): Undefined offset:  1 in [APP/views/helpers/structures.php, line 89]
2009-03-26 14:37:06 Notice: Notice (8): Undefined offset:  2 in [APP/views/helpers/structures.php, line 89]
2009-03-26 14:44:32 Notice: Notice (8): Undefined variable: find_value in [APP/views/helpers/structures.php, line 1247]
2009-03-26 14:44:32 Notice: Notice (8): Array to string conversion in [APP/views/helpers/structures.php, line 1250]
2009-03-26 14:44:32 Notice: Notice (8): Array to string conversion in [APP/views/helpers/structures.php, line 1251]
2009-03-26 14:44:32 Notice: Notice (8): Undefined variable: id in [APP/views/helpers/structures.php, line 1189]
2009-03-26 14:44:50 Notice: Notice (8): Undefined variable: id in [APP/views/helpers/structures.php, line 1189]
2009-03-26 15:16:28 Notice: Notice (8): Undefined variable: atim_menu in [APP/views/layouts/default.ctp, line 13]
2009-03-26 15:16:28 Notice: Notice (8): Undefined variable: atim_menu_variables in [APP/views/layouts/default.ctp, line 13]
2009-03-26 15:16:55 Notice: Notice (8): Undefined variable: group_id in [APP/plugins/administrate/controllers/users_controller.php, line 8]
2009-03-26 15:16:55 Notice: Notice (8): Undefined variable: group_id in [APP/plugins/administrate/controllers/users_controller.php, line 9]
2009-03-26 15:18:54 Notice: Notice (8): Undefined index:  flag_listall in [APP/views/helpers/structures.php, line 251]
2009-03-26 15:18:54 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 130]
2009-03-26 15:19:59 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 130]
2009-03-26 15:21:24 Notice: Notice (8): Undefined offset:  0 in [APP/views/helpers/structures.php, line 132]
2009-03-26 15:36:41 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 67]
2009-03-26 15:36:41 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 134]
2009-03-26 15:37:08 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 69]
2009-03-26 15:37:08 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 136]
2009-03-26 15:37:22 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 70]
2009-03-26 15:37:22 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 137]
2009-03-26 15:37:28 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 70]
2009-03-26 15:37:28 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 137]
2009-03-26 15:41:06 Notice: Notice (8): Undefined index:  flag_view in [APP/views/helpers/structures.php, line 352]
2009-03-26 15:41:06 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 70]
2009-03-26 15:41:06 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 137]
2009-03-26 15:41:57 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 70]
2009-03-26 15:41:57 Notice: Notice (8): Undefined property: StructuresHelper::$othAuth in [APP/views/helpers/structures.php, line 110]
2009-03-26 15:42:07 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 70]
2009-03-26 15:42:07 Notice: Notice (8): Undefined property: StructuresHelper::$othAuth in [APP/views/helpers/structures.php, line 110]
2009-03-26 15:43:26 Notice: Notice (8): Undefined variable: extras in [APP/views/helpers/structures.php, line 138]
2009-03-26 16:26:04 Notice: Notice (8): Undefined variable: option in [APP/views/helpers/structures.php, line 111]
2009-03-26 16:26:08 Notice: Notice (8): Undefined variable: option in [APP/views/helpers/structures.php, line 111]
2009-03-26 16:26:10 Notice: Notice (8): Undefined variable: option in [APP/views/helpers/structures.php, line 111]
2009-03-26 16:26:11 Notice: Notice (8): Undefined variable: option in [APP/views/helpers/structures.php, line 111]
2009-03-27 11:23:52 Notice: Notice (8): Undefined variable: atim_menu in [APP/views/layouts/default.ctp, line 13]
2009-03-27 11:23:52 Notice: Notice (8): Undefined variable: atim_menu_variables in [APP/views/layouts/default.ctp, line 13]
2009-03-27 11:39:40 Notice: Notice (8): Undefined variable: atim_menu in [APP/views/layouts/default.ctp, line 13]
2009-03-27 11:39:40 Notice: Notice (8): Undefined variable: atim_menu_variables in [APP/views/layouts/default.ctp, line 13]
2009-03-27 14:46:10 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/groups_controller.php, line 9]
2009-03-27 14:46:10 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/groups_controller.php, line 10]
2009-03-27 14:46:10 Notice: Notice (8): Undefined variable: table_index in [APP/views/helpers/structures.php, line 192]
2009-03-27 14:46:10 Notice: Notice (8): Undefined variable: td_content_count in [APP/views/helpers/structures.php, line 225]
2009-03-27 14:46:10 Notice: Notice (8): Undefined variable: td_id_count in [APP/views/helpers/structures.php, line 225]
2009-03-27 14:53:08 Notice: Notice (8): Undefined property: StructuresHelper::$Paginator in [APP/views/helpers/structures.php, line 286]
2009-03-27 14:55:02 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/groups_controller.php, line 9]
2009-03-27 14:55:02 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/groups_controller.php, line 10]
2009-03-27 14:55:02 Notice: Notice (8): Undefined variable: table_index in [APP/views/helpers/structures.php, line 192]
2009-03-27 14:55:02 Notice: Notice (8): Undefined variable: td_content_count in [APP/views/helpers/structures.php, line 225]
2009-03-27 14:55:02 Notice: Notice (8): Undefined variable: td_id_count in [APP/views/helpers/structures.php, line 225]
2009-03-27 15:10:25 Notice: Notice (8): Undefined property: StructuresHelper::$passedArgs in [APP/views/helpers/structures.php, line 181]
2009-03-27 15:17:04 Notice: Notice (8): Undefined variable: td_content_count in [APP/views/helpers/structures.php, line 234]
2009-03-27 15:17:04 Notice: Notice (8): Undefined variable: td_id_count in [APP/views/helpers/structures.php, line 234]
2009-03-27 16:37:09 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 405]
2009-03-27 16:37:09 Notice: Notice (8): Undefined index:  options in [CORE/cake/libs/view/helpers/paginator.php, line 408]
2009-03-27 16:37:09 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 409]
2009-03-27 16:37:09 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 410]
2009-03-27 16:37:09 Notice: Notice (8): Undefined index:  page in [CORE/cake/libs/view/helpers/paginator.php, line 425]
2009-03-27 16:37:09 Notice: Notice (8): Undefined index:  current in [CORE/cake/libs/view/helpers/paginator.php, line 427]
2009-03-27 16:37:09 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 428]
2009-03-27 16:37:13 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 405]
2009-03-27 16:37:13 Notice: Notice (8): Undefined index:  options in [CORE/cake/libs/view/helpers/paginator.php, line 408]
2009-03-27 16:37:13 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 409]
2009-03-27 16:37:13 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 410]
2009-03-27 16:37:13 Notice: Notice (8): Undefined index:  page in [CORE/cake/libs/view/helpers/paginator.php, line 425]
2009-03-27 16:37:13 Notice: Notice (8): Undefined index:  current in [CORE/cake/libs/view/helpers/paginator.php, line 427]
2009-03-27 16:37:13 Notice: Notice (8): Undefined index:  count in [CORE/cake/libs/view/helpers/paginator.php, line 428]
2009-03-27 16:48:37 Notice: Notice (8): Undefined variable: atim_menu in [APP/views/layouts/default.ctp, line 13]
2009-03-27 16:48:37 Notice: Notice (8): Undefined variable: atim_menu_variables in [APP/views/layouts/default.ctp, line 13]
2009-03-27 16:48:57 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/user_logs_controller.php, line 9]
2009-03-27 16:48:57 Notice: Notice (8): Undefined variable: group_id in [APP/plugins/administrate/controllers/user_logs_controller.php, line 9]
2009-03-27 16:48:57 Notice: Notice (8): Undefined variable: user_id in [APP/plugins/administrate/controllers/user_logs_controller.php, line 9]
2009-03-27 16:48:57 Notice: Notice (8): Undefined variable: user_id in [APP/plugins/administrate/controllers/user_logs_controller.php, line 10]
2009-03-27 16:48:57 Notice: Notice (8): Undefined variable: table_index in [APP/views/helpers/structures.php, line 194]
2009-03-27 16:48:57 Notice: Notice (8): Undefined variable: column_count in [APP/views/helpers/structures.php, line 230]
2009-03-27 16:48:57 Notice: Notice (8): Undefined variable: column_count in [APP/views/helpers/structures.php, line 240]
2009-03-27 16:49:58 Notice: Notice (8): Undefined index:  StructureFormat in [APP/views/helpers/structures.php, line 389]
2009-03-27 17:04:40 Notice: Notice (8): Undefined variable: bank_id in [APP/plugins/administrate/controllers/users_controller.php, line 14]
2009-03-27 17:04:40 Notice: Notice (8): Undefined variable: group_id in [APP/plugins/administrate/controllers/users_controller.php, line 14]
2009-03-27 17:04:40 Notice: Notice (8): Undefined variable: user_id in [APP/plugins/administrate/controllers/users_controller.php, line 14]
2009-03-27 17:04:40 Notice: Notice (8): Undefined variable: user_id in [APP/plugins/administrate/controllers/users_controller.php, line 15]
2009-03-27 17:05:50 Notice: Notice (8): Undefined variable: group_id in [APP/plugins/administrate/controllers/users_controller.php, line 14]
